,SubjectID,Group,ProgFI,index,Session,SessionCode,Trial,ObtFI,Latency,Breakpoint,LogLat,LogBP
0,21,Base20,5.0,45.0,56.5,4.0,46.0,17.886666666666667,3.8637499999999996,4.016249999999999,1.237258323542597,1.807663264369233
1,21,Base20,5.73,45.0,56.5,4.0,46.0,18.234375000000004,3.9762500000000003,4.39125,1.3905614123734018,1.9209242048982356
2,21,Base20,7.86,45.0,56.5,4.0,46.0,18.434791666666662,3.970416666666667,4.604999999999999,1.3774257050618577,1.9160082851147158
3,21,Base20,11.18,45.0,56.5,4.0,46.0,19.067916666666672,3.980833333333333,5.057916666666666,1.3428851769322456,2.04724496076011
4,21,Base20,15.36,45.0,56.5,4.0,46.0,19.646666666666665,4.916874999999999,7.543541666666665,1.4771672318848912,2.159596553358446
5,21,Base20,20.0,40.0,56.5,4.0,41.0,20.672166666666666,4.811166666666667,8.882666666666665,1.496492383598617,2.1177780622393816
6,21,Base20,24.64,35.0,56.5,4.0,36.0,21.194166666666668,3.9689583333333336,10.922083333333331,1.2763891049123128,2.058429293398064
7,21,Base20,28.82,35.0,56.5,4.0,36.0,21.92854166666667,4.029791666666666,14.26333333333333,1.1733116268147719,2.104029063667388
8,21,Base20,32.14,35.0,56.5,4.0,36.0,22.503333333333334,3.6808333333333336,12.246249999999998,1.2741439021630858,1.9290448120918031
9,21,Base20,34.27,35.0,56.5,4.0,36.0,22.903750000000002,4.130416666666666,14.877083333333333,1.2343503488740268,2.037189358568469
10,21,Base20,35.0,35.0,56.5,4.0,36.0,23.353749999999994,3.3991666666666664,14.752916666666666,1.3260768304884496,2.0447012843013237
11,22,Base40,10.0,45.0,56.5,4.0,46.0,45.19291666666667,4.044583333333333,4.646666666666667,2.097869399092794,2.3580605869142173
12,22,Base40,11.47,45.0,56.5,4.0,46.0,45.05208333333334,4.4766666666666675,4.913958333333333,2.1575015890347617,2.395990233666276
13,22,Base40,15.73,45.0,56.5,4.0,46.0,45.739374999999974,4.4227083333333335,5.650000000000001,1.9357693036212102,2.378938733761015
14,22,Base40,22.37,45.0,56.5,4.0,46.0,43.13291666666667,4.871666666666665,6.9206249999999985,1.9225585130132252,2.4191860242343997
15,22,Base40,30.73,45.0,56.5,4.0,46.0,41.76708333333334,5.524583333333333,8.946666666666669,1.8780386868605168,2.3988121571854135
16,22,Base40,40.0,40.0,56.5,4.0,41.0,40.215500000000006,7.723666666666667,11.559166666666666,1.9255487021525852,2.388813334344316
17,22,Base40,49.27,35.0,56.5,4.0,36.0,38.65833333333333,8.709791666666662,14.502291666666672,1.7319980544108537,2.3223283449760954
18,22,Base40,57.63,35.0,56.5,4.0,36.0,37.316875,8.287708333333336,15.543541666666668,1.7980555547058763,2.154770635252522
19,22,Base40,64.27,35.0,56.5,4.0,36.0,36.56562499999999,14.192708333333334,20.864375,1.9187506263211065,2.220434927172284
20,22,Base40,68.53,35.0,56.5,4.0,36.0,35.473124999999996,15.530416666666667,21.670833333333334,1.9464306895664165,2.0990578868159617
21,22,Base40,70.0,35.0,56.5,4.0,36.0,35.20083333333333,10.04125,16.287916666666664,1.6346529481297045,1.8807571200234852
22,23,Base20,5.0,45.0,56.5,4.0,46.0,20.288750000000004,0.7320833333333335,2.9970833333333338,0.10985462235336697,1.8878564669983258
23,23,Base20,5.73,45.0,56.5,4.0,46.0,20.38312500000001,1.0291666666666668,3.662291666666668,-0.0460131325167343,1.895340219769037
24,23,Base20,7.86,45.0,56.5,4.0,46.0,20.328958333333333,1.2391666666666665,4.114791666666666,0.023752016688658128,2.070506656061457
25,23,Base20,11.18,45.0,56.5,4.0,46.0,20.31291666666667,1.307916666666667,5.702708333333334,-0.02684808108095509,2.1059638074256166
26,23,Base20,15.36,45.0,56.5,4.0,46.0,20.443125,1.644583333333333,7.2729166666666645,-0.2000558792422432,2.2175480620462276
27,23,Base20,20.0,40.0,56.5,4.0,41.0,20.585999999999995,1.7071666666666672,10.257833333333336,-0.22765779312932607,2.2053675212740407
28,23,Base20,24.64,35.0,56.5,4.0,36.0,20.56604166666667,1.6766666666666665,12.671458333333334,-0.10081846982468168,2.134189157025065
29,23,Base20,28.82,35.0,56.5,4.0,36.0,20.513958333333335,1.3885416666666668,14.932291666666663,-0.1374642366112457,2.1428093433467743
30,23,Base20,32.14,35.0,56.5,4.0,36.0,20.35708333333334,2.3106250000000004,15.806666666666667,0.08771290871984681,2.0090658376916477
31,23,Base20,34.27,35.0,56.5,4.0,36.0,20.533124999999995,2.1029166666666668,16.29916666666667,-0.23854958279417124,1.990352767127557
32,23,Base20,35.0,35.0,56.5,4.0,36.0,20.245833333333337,2.5366666666666666,17.03708333333334,-0.15593247785194397,1.8890203961626832
33,24,Base40,10.0,45.0,56.5,4.0,46.0,45.26750000000001,4.615833333333333,5.59,1.727739725720166,2.5738656697249476
34,24,Base40,11.47,45.0,56.5,4.0,46.0,45.11270833333333,4.9920833333333325,6.166875000000001,1.9023072324681802,2.6553623409660045
35,24,Base40,15.73,45.0,56.5,4.0,46.0,44.35270833333334,4.508541666666668,7.113958333333334,1.8474222900421584,2.6009051918847343
36,24,Base40,22.37,45.0,56.5,4.0,46.0,43.31708333333333,4.685,9.376041666666666,1.856471742291373,2.661954783668938
37,24,Base40,30.73,45.0,56.5,4.0,46.0,41.952708333333334,7.061041666666665,13.740208333333335,1.6855738266336158,2.764986330337708
38,24,Base40,40.0,40.0,56.5,4.0,41.0,40.240833333333335,8.419166666666666,18.338333333333328,1.7462560593552316,2.666836144912828
