,SubjectID,ProgFI,A,L,K
0,21.0,5.0,1.600064387876467,4.43580663749245,19.319134301072726
1,21.0,5.73,4.30685407713448,5.708489953303512,79.96265568037185
2,21.0,7.86,5.586023268263342,8.63303960252337,4.891965692754422
3,21.0,11.18,3.9945703260869654,12.647472045900276,2.4194142911275605
4,21.0,15.36,2.1412507506036684,11.206527179111196,6.454114849588567
5,21.0,20.0,2.5332154996640908,18.55499088640784,2.6117341232159923
6,21.0,24.64,2.1332525013977723,17.007176884495816,1.9212726745649034
7,21.0,28.82,2.4872547155272895,25.54395288491393,1.724075223426943
8,21.0,32.14,1.4606442550437617,11.250167145314942,7.38767832902695
9,21.0,34.27,1.4625964399103746,11.63819502695175,9.750319112960273
10,21.0,35.0,1.5673878101034462,13.894096274571572,1.961898648886692
11,22.0,10.0,2.665591705245926,7.153692051207425,4.205155051345241
12,22.0,11.47,2.6503285830622065,7.010278153631178,13.458065947362368
13,22.0,15.73,2.984027851218863,9.525730455674134,6.253701128178544
14,22.0,22.37,3.1504639675301775,11.669808416616842,3.2294767930116612
15,22.0,30.73,3.0339819618855226,13.27277702549029,6.982216684580141
16,22.0,40.0,3.200836208895842,22.968915889005917,3.891816993415844
17,22.0,49.27,3.1484579099135668,23.07178095106111,4.1102959421904135
18,22.0,57.63,3.0586686914690464,27.7851290139259,3.6934967956651037
19,22.0,64.27,2.5438389656074967,31.173718612507184,3.670613856686676
20,22.0,68.53,3.225254485093834,42.03055794407241,3.4079432556620057
21,22.0,70.0,2.6868205545244446,31.277960447304785,5.0925277017374135
22,23.0,5.0,1.6635195896956076,4.173691709193794,15.019557635668876
23,23.0,5.73,6.838720999944452,5.76239089044347,65.01877818659067
24,23.0,7.86,4.412754178704332,8.256425558473534,8.9142994161892
25,23.0,11.18,3.0573860023798463,10.212829249397265,1.6313778463096988
26,23.0,15.36,2.104775592977187,9.093470130433696,2.4168508303873724
27,23.0,20.0,1.7760438092061832,9.285043726740788,3.0152657193609396
28,23.0,24.64,2.184056838732341,10.877775033576048,2.003753498853785
29,23.0,28.82,2.4413086443481835,14.876623925521818,1.6451171361190973
30,23.0,32.14,2.450808724762816,17.150111534233638,2.0861719412709294
31,23.0,34.27,2.1418100956936885,14.014818231936633,2.5311935936206273
32,23.0,35.0,2.0483734950719,13.696134176955931,2.7195033425363513
33,24.0,10.0,2.073983984981284,6.816969584144988,27.867961994881778
34,24.0,11.47,5.454048021400691,13.073924868175402,3.7026766599436334
35,24.0,15.73,2.097981054116051,10.315315776169333,13.276373820253164
36,24.0,22.37,2.390537484242935,13.692712747190072,3.663739239216865
37,24.0,30.73,1.9942278999659897,19.4887596022375,2.509901683809124
38,24.0,40.0,2.1776225343056153,25.239918469645865,2.4014004348073503
39,24.0,49.27,2.034374889204509,25.601132106875706,2.4752138880900896
40,24.0,57.63,2.115185921231424,31.985330231033686,2.4308983603893988
41,24.0,64.27,2.0250109302230577,35.201406321116615,2.5237187862595922
42,24.0,68.53,2.2564042389105534,35.021565616918934,3.3483718444163
43,24.0,70.0,1.7748979286595694,28.151725809395632,3.949206517201043
44,25.0,10.0,2.877846147623504,6.728250815801064,19.238343247502968
45,25.0,11.47,2.7184627142659945,6.902087133362067,13.742442938069663
46,25.0,15.73,3.1035630527184153,8.698213455588373,3.5449489011976123
47,25.0,22.37,3.4146661190883325,12.875917964440518,1.9267527637031878
48,25.0,30.73,3.5100899962556293,20.428113649269665,2.6014315978912643
49,25.0,40.0,2.9551570344293894,28.22929519428473,4.72203537226671
50,25.0,49.27,2.9881193897657745,32.02203422466996,3.5553829715758103
51,25.0,57.63,3.110150871286104,38.36661737090745,5.888404642097081
