,SubjectID,Model,B,Sm,P,AICc
0,21.0,SineWave,9.167059890947227,5.62943722301591,19.963965242863676,279.10269736257646
1,23.0,SineWave,9.792935633187753,6.716152962374181,19.993768777927684,289.1749737362571
2,26.0,SineWave,9.680058564094976,7.247548938121665,20.063507020671825,270.67706164389506
3,28.0,SineWave,8.711061975261007,6.730590460386864,19.934390342192962,354.40195374030185
4,30.0,SineWave,6.6798859259151975,3.418922326830037,20.14535599700929,241.6798402471571
5,32.0,SineWave,8.93614434035993,5.5857266656003945,20.07534460501931,270.4985536071176
6,33.0,SineWave,8.057174753588214,5.1483098095662045,19.905699014052303,289.6881532603802
7,35.0,SineWave,6.852787086929868,4.4450263259075635,19.993758317945858,258.500654749014
8,22.0,SineWave,12.246227226986246,8.386299831058315,19.949322849461353,345.0474487959683
9,24.0,SineWave,16.566061411648516,10.942041759575186,19.927460535123267,367.6857856228273
10,25.0,SineWave,18.941785117598503,14.17958120837677,19.9618371244481,303.6952965871288
11,27.0,SineWave,17.161864767078615,13.14794109504436,19.96805089617756,369.3150763797056
12,29.0,SineWave,13.774732279998627,8.486621758788871,20.207802770091817,345.9420280497374
13,31.0,SineWave,15.286487877641687,10.575562129416864,19.969378956345295,313.5080850879421
14,34.0,SineWave,14.143511383942448,8.227328897119477,20.08688212848682,332.13984477414255
15,36.0,SineWave,13.046687609202122,9.129292295626371,19.996840462988068,317.19414373720997
16,177.0,SineWave,28.103275800810383,23.254815118701828,19.967194612969546,424.6559426677877
17,178.0,SineWave,25.822412563546543,19.863253243043374,19.949192002951655,376.0753967612676
18,179.0,SineWave,24.959570527115016,19.628152017956737,20.012117047954604,398.41514849934737
19,180.0,SineWave,26.290650755938916,23.185216904711954,19.94763097711021,424.69499157942306
20,181.0,SineWave,23.08987256027279,17.825581160057364,20.002264635665302,377.74974633953923
21,182.0,SineWave,25.19208398224988,16.874265760050008,20.03041825124603,363.7607744995685
22,183.0,SineWave,21.80417942173452,17.308219272936693,19.980321910881678,375.5929817600228
23,184.0,SineWave,24.950976861135207,21.222859952645468,19.938309780734944,380.13336784504804
