"","index","SubjectID","Session","SessionCode","Trial","ProgFI","ObtFI","Lat","Breakpoint"
"225",41,24,7,1,42,10,10.3,1.12,5.64
"226",42,24,7,1,43,10,11.11,0.91,7.65
"227",43,24,7,1,44,10,10.25,0.74,3.3
"228",44,24,7,1,45,10,10.35,3.62,3.62
"229",45,24,7,1,46,10,10.47,0.83,8.87
"230",46,24,7,1,47,10,10.76,0.91,3.63
"231",47,24,7,1,48,10,10.21,0.92,4.3
"232",48,24,7,1,49,10,10.69,0.78,4.67
"233",49,24,7,1,50,10,10.29,0.95,5.44
"234",50,24,7,1,51,10,10.22,0.99,5.6
"235",51,24,7,1,52,10,10.97,0.71,8.18
"236",52,24,7,1,53,10,11.42,0.83,7.85
"237",53,24,7,1,54,10,10.72,0.81,3.5
"238",54,24,7,1,55,10,10.96,0.62,3.97
"239",55,24,7,1,56,10,10.89,0.72,1.06
"240",56,24,7,1,57,10,11.24,1.82,4.29
"241",57,24,7,1,58,10,14.74,0.87,1.9
"242",58,24,7,1,59,10,10.53,1.39,5.76
"243",59,24,7,1,60,10,13.27,13.27,13.27
"244",60,24,7,1,61,10,10.38,1.08,8.5
"245",0,25,7,1,1,10,10.25,2.2,3.92
"246",1,25,7,1,2,10,11.11,1,7.68
"247",2,25,7,1,3,10,11.06,1.72,4.19
"248",3,25,7,1,4,10,11.15,2.65,5.64
"249",4,25,7,1,5,10,10.82,2.55,4.53
"250",5,25,7,1,6,10,10.48,2.45,4.83
"251",6,25,7,1,7,10,12.4,1.38,8.3
"252",7,25,7,1,8,10,22.36,0.74,7.87
"253",8,25,7,1,9,10,13.73,1.21,4.32
"254",9,25,7,1,10,10,10.23,1.16,3.82
"255",10,25,7,1,11,10,14.35,0.94,9.27
"256",11,25,7,1,12,10,10.02,1.68,3.5
"257",12,25,7,1,13,10,12.21,1.49,8.42
"258",13,25,7,1,14,10,10.32,1.95,4.95
"259",14,25,7,1,15,10,11.14,8.49,8.49
"260",15,25,7,1,16,10,10.47,1.22,8.67
"261",16,25,7,1,17,10,10.58,1.02,6.38
"262",17,25,7,1,18,10,10.93,2.62,5.17
"263",18,25,7,1,19,10,10.83,1.09,5.75
"264",19,25,7,1,20,10,12.31,1.04,4.7
"265",20,25,7,1,21,10,10.37,0.75,2.75
"266",21,25,7,1,22,10,12.29,0.89,8.01
"267",22,25,7,1,23,10,10.58,0.66,4.35
"268",23,25,7,1,24,10,10.33,0.41,2.48
"269",24,25,7,1,25,10,10.08,9.59,9.59
"270",25,25,7,1,26,10,10.08,1.01,5.25
"271",26,25,7,1,27,10,13.71,2.07,10
"272",27,25,7,1,28,10,10.7,1.25,4.18
"273",28,25,7,1,29,10,14.55,1.63,5.91
"274",29,25,7,1,30,10,10.44,1.1,1.68
"275",30,25,7,1,31,10,14.91,0.98,5
"276",31,25,7,1,32,10,10.22,2.73,2.73
"277",32,25,7,1,33,10,12.17,0.73,9.93
"278",33,25,7,1,34,10,10.76,1.3,4.65
"279",34,25,7,1,35,10,10.62,0.52,8.82
"280",35,25,7,1,36,10,10.4,0.77,3.46
"281",36,25,7,1,37,10,10.73,0.62,6.5
"282",37,25,7,1,38,10,10.26,1.67,1.67
"283",38,25,7,1,39,10,10.22,0.53,3.69
"284",39,25,7,1,40,10,10.55,0.72,3.34
"285",40,25,7,1,41,10,12.33,1.57,9.24
"286",41,25,7,1,42,10,10.05,3.74,5.99
"287",42,25,7,1,43,10,17.56,0.96,0.96
"288",43,25,7,1,44,10,10.74,1.57,5.5
"289",44,25,7,1,45,10,10.59,1.45,7.08
"290",45,25,7,1,46,10,10.77,1.54,4.84
"291",46,25,7,1,47,10,11.34,0.73,6.78
"292",47,25,7,1,48,10,10.37,0.37,4.08
"293",48,25,7,1,49,10,10.21,4.49,4.49
"294",49,25,7,1,50,10,11.37,11.37,11.37
"295",50,25,7,1,51,10,10.72,0.63,5.59
"296",51,25,7,1,52,10,10.73,0.64,4.53
"297",52,25,7,1,53,10,11.22,0.93,7.1
"298",53,25,7,1,54,10,11.47,0.47,0.47
"299",54,25,7,1,55,10,11.14,2.43,8.55
"300",55,25,7,1,56,10,10.2,5.1,5.1
"301",56,25,7,1,57,10,10.19,5.48,5.48
"302",57,25,7,1,58,10,10.69,6.26,6.26
"303",58,25,7,1,59,10,10.15,3.13,3.13
"304",59,25,7,1,60,10,10.45,3.57,6.07
"305",60,25,7,1,61,10,10.56,0.56,4.57
"306",0,26,7,1,1,5,7.05,0.99,2.02
"307",1,26,7,1,2,5,6.33,1.07,3.77
"308",2,26,7,1,3,5,5.33,1.87,1.87
"309",3,26,7,1,4,5,11.36,1.09,1.49
"310",4,26,7,1,5,5,12.24,1.1,1.45
"311",5,26,7,1,6,5,24,1.07,4.22
"312",6,26,7,1,7,5,32.61,1.01,2.97
"313",7,26,7,1,8,5,17.96,1.12,1.12
"314",8,26,7,1,9,5,14.29,1.53,2.33
"315",9,26,7,1,10,5,9.76,1.14,1.67
"316",10,26,7,1,11,5,13.88,1.01,1.01
"317",11,26,7,1,12,5,16.88,0.91,4.68
"318",12,26,7,1,13,5,6.62,1.06,1.06
"319",13,26,7,1,14,5,10.28,1.12,1.19
"320",14,26,7,1,15,5,15.7,0.9,0.9
"321",15,26,7,1,16,5,29.25,29.25,29.25
"322",16,26,7,1,17,5,27.11,1.72,1.72
"323",17,26,7,1,18,5,5.74,0.87,0.87
"324",18,26,7,1,19,5,45,1.18,1.18
"325",19,26,7,1,20,5,13.16,1.2,1.83
"326",20,26,7,1,21,5,61.01,61.01,61.01
"327",21,26,7,1,22,5,17.73,0.68,0.68
"328",22,26,7,1,23,5,38.34,38.34,38.34
"329",23,26,7,1,24,5,22.15,1.02,1.02
"330",24,26,7,1,25,5,40.05,0.78,2.36
"331",25,26,7,1,26,5,12.98,12.98,12.98
"332",26,26,7,1,27,5,13.39,13.39,13.39
"333",27,26,7,1,28,5,8.85,1.39,1.39
"334",28,26,7,1,29,5,12.23,0.41,0.98
"335",29,26,7,1,30,5,55.79,55.79,55.79
"336",30,26,7,1,31,5,7.92,0.93,0.93
"337",31,26,7,1,32,5,11.82,1.12,2.07
"338",32,26,7,1,33,5,17.1,1.3,1.51
"339",33,26,7,1,34,5,20.8,0.82,0.82
"340",34,26,7,1,35,5,17.71,2.2,3.96
"341",35,26,7,1,36,5,5.54,0.7,0.7
"342",36,26,7,1,37,5,52.27,1.36,1.36
"343",37,26,7,1,38,5,10.57,10.57,10.57
"344",38,26,7,1,39,5,10.32,0.92,3.06
"345",39,26,7,1,40,5,40.33,1.18,1.18
"346",40,26,7,1,41,5,6.39,4.5,4.5
"347",41,26,7,1,42,5,54.41,1.11,1.49
"348",42,26,7,1,43,5,8.52,1.83,1.83
"349",43,26,7,1,44,5,7.01,0.8,1.83
"350",44,26,7,1,45,5,11.25,0.53,0.71
"351",45,26,7,1,46,5,12.58,12.58,12.58
"352",46,26,7,1,47,5,121.11,0.92,4.14
"353",47,26,7,1,48,5,8.76,1.12,1.7
"354",48,26,7,1,49,5,9.57,1.66,2.76
"355",49,26,7,1,50,5,17.7,2.35,2.35
"356",50,26,7,1,51,5,43.44,1.39,1.72
"357",51,26,7,1,52,5,9.89,9.89,9.89
"358",52,26,7,1,53,5,6.14,0.42,1.39
"359",53,26,7,1,54,5,20.64,20.64,20.64
"360",54,26,7,1,55,5,14.39,14.39,14.39
"361",55,26,7,1,56,5,8.24,1.83,1.83
"362",56,26,7,1,57,5,5.33,1.16,1.16
"363",57,26,7,1,58,5,54.28,1.51,3.5
"364",58,26,7,1,59,5,14.72,14.72,14.72
"365",59,26,7,1,60,5,8.56,4.68,4.68
"366",60,26,7,1,61,5,7.1,2.09,3.18
"367",0,27,7,1,1,10,11.54,6.01,6.01
"368",1,27,7,1,2,10,12.3,1.45,1.5
"369",2,27,7,1,3,10,11.39,3,3
"370",3,27,7,1,4,10,18.11,0.82,9.7
"371",4,27,7,1,5,10,18.02,0.87,8.95
"372",5,27,7,1,6,10,13.9,0.56,6.72
"373",6,27,7,1,7,10,10.35,10.35,10.35
"374",7,27,7,1,8,10,20.19,0.87,7.01
"375",8,27,7,1,9,10,11.35,0.64,8.78
"376",9,27,7,1,10,10,22.23,5.59,8.62
"377",10,27,7,1,11,10,17.01,2.29,5.01
"378",11,27,7,1,12,10,14.21,1.16,7.52
"379",12,27,7,1,13,10,16.47,1.21,5.19
"380",13,27,7,1,14,10,11.2,1.01,5.43
"381",14,27,7,1,15,10,11.24,0.99,5.79
"382",15,27,7,1,16,10,10.77,6.51,6.51
"383",16,27,7,1,17,10,15.51,2.18,8.79
"384",17,27,7,1,18,10,10.73,0.66,2.32
"385",18,27,7,1,19,10,11.15,1.25,7.89
"386",19,27,7,1,20,10,10.89,2.16,5.41
"387",20,27,7,1,21,10,11.93,4.99,6.21
"388",21,27,7,1,22,10,19.82,0.36,9.3
"389",22,27,7,1,23,10,11.93,0.99,0.99
"390",23,27,7,1,24,10,23.35,0.75,3.75
"391",24,27,7,1,25,10,11.38,0.66,0.66
"392",25,27,7,1,26,10,11.07,0.64,0.64
"393",26,27,7,1,27,10,10.56,0.7,0.7
"394",27,27,7,1,28,10,13.63,2.53,3.96
"395",28,27,7,1,29,10,18.02,2.13,9.75
"396",29,27,7,1,30,10,13.71,2.6,4.68
"397",30,27,7,1,31,10,16.23,16.23,16.23
"398",31,27,7,1,32,10,19.12,1.04,5.01
"399",32,27,7,1,33,10,13.43,9.27,9.27
"400",33,27,7,1,34,10,13.93,7.36,7.36
"401",34,27,7,1,35,10,12.93,1.11,7.01
"402",35,27,7,1,36,10,10.12,0.86,8.8
"403",36,27,7,1,37,10,15.98,6.88,7.78
"404",37,27,7,1,38,10,10.3,1.27,7.03
"405",38,27,7,1,39,10,13.72,7.83,7.83
"406",39,27,7,1,40,10,10.25,0.75,5.54
"407",40,27,7,1,41,10,11.82,2.71,3.5
"408",41,27,7,1,42,10,10.61,0.9,5.39
"409",42,27,7,1,43,10,11.04,0.82,8.88
"410",43,27,7,1,44,10,10.52,1.03,1.03
"411",44,27,7,1,45,10,19.82,0.8,0.8
"412",45,27,7,1,46,10,11.18,1,1.63
"413",46,27,7,1,47,10,11.79,1.11,1.91
"414",47,27,7,1,48,10,13.5,1.11,1.11
"415",48,27,7,1,49,10,11.64,0.89,0.89
"416",49,27,7,1,50,10,11.81,0.48,3.76
"417",50,27,7,1,51,10,11.75,8.39,8.39
"418",51,27,7,1,52,10,15.5,15.5,15.5
"419",52,27,7,1,53,10,10.19,6.32,6.32
"420",53,27,7,1,54,10,11.64,3.6,3.6
"421",54,27,7,1,55,10,12.68,9.63,9.63
"422",55,27,7,1,56,10,18.6,1.77,8.5
"423",56,27,7,1,57,10,11.26,5.19,5.19
"424",57,27,7,1,58,10,16.18,16.18,16.18
"425",58,27,7,1,59,10,10.55,8.07,8.07
"426",59,27,7,1,60,10,21.48,21.48,21.48
"427",60,27,7,1,61,10,11.16,1.2,3.31
"428",0,28,7,1,1,5,6.09,1.07,1.68
"429",1,28,7,1,2,5,10.82,1.33,3.95
"430",2,28,7,1,3,5,8.38,0.87,1.04
"431",3,28,7,1,4,5,6.53,0.81,4.2
"432",4,28,7,1,5,5,7.17,0.88,4.3
"433",5,28,7,1,6,5,5.02,2.1,4.76
"434",6,28,7,1,7,5,6.79,4.31,4.31
"435",7,28,7,1,8,5,17.31,2.01,3.46
"436",8,28,7,1,9,5,6.51,1.27,2
"437",9,28,7,1,10,5,8,1.32,1.32
"438",10,28,7,1,11,5,6.35,1.33,1.77
"439",11,28,7,1,12,5,6.6,1.25,1.25
"440",12,28,7,1,13,5,5.31,3.93,3.93
"441",13,28,7,1,14,5,6.02,6.02,6.02
"442",14,28,7,1,15,5,6.01,1.21,1.21
"443",15,28,7,1,16,5,8.07,0.88,1.44
"444",16,28,7,1,17,5,7.08,1.26,4.43
"445",17,28,7,1,18,5,5.82,0.77,1.67
"446",18,28,7,1,19,5,7.41,1.19,1.55
"447",19,28,7,1,20,5,5.78,0.99,3.84
"448",20,28,7,1,21,5,13.58,0.93,2.11
"449",21,28,7,1,22,5,7.93,2.07,2.23
"450",22,28,7,1,23,5,5.1,0.86,4.19
"451",23,28,7,1,24,5,7.65,0.94,2.2
"452",24,28,7,1,25,5,7.14,2.94,2.94
"453",25,28,7,1,26,5,5.23,1.91,2.74
"454",26,28,7,1,27,5,7.82,0.89,4.58
"455",27,28,7,1,28,5,9.36,3.95,4.96
"456",28,28,7,1,29,5,6.04,1.28,1.48
"457",29,28,7,1,30,5,5.52,5.52,5.52
"458",30,28,7,1,31,5,5.61,0.9,4.7
"459",31,28,7,1,32,5,5.28,0.74,3.02
"460",32,28,7,1,33,5,6.12,0.88,3.92
"461",33,28,7,1,34,5,5.06,1.51,4.89
"462",34,28,7,1,35,5,6.52,1.87,3.91
"463",35,28,7,1,36,5,6.47,1.54,1.78
"464",36,28,7,1,37,5,10.9,10.9,10.9
"465",37,28,7,1,38,5,7.15,7.15,7.15
"466",38,28,7,1,39,5,6.36,1.73,1.91
"467",39,28,7,1,40,5,5.68,1.78,1.78
"468",40,28,7,1,41,5,5.02,2.93,4.9
"469",41,28,7,1,42,5,6.67,1.72,2.14
"470",42,28,7,1,43,5,8.28,1.44,1.44
"471",43,28,7,1,44,5,6.51,1.08,1.08
"472",44,28,7,1,45,5,7.14,1.35,1.35
"473",45,28,7,1,46,5,5.19,1.27,2.7
"474",46,28,7,1,47,5,10.87,2.38,4.98
"475",47,28,7,1,48,5,5.27,1.38,3.77
"476",48,28,7,1,49,5,6.7,0.77,2.36
"477",49,28,7,1,50,5,6.67,1.67,1.67
"478",50,28,7,1,51,5,5.7,5.7,5.7
"479",51,28,7,1,52,5,5.85,1.17,3.8
"480",52,28,7,1,53,5,6.33,1.64,3.72
"481",53,28,7,1,54,5,5.72,1.4,3.85
"482",54,28,7,1,55,5,16.57,16.57,16.57
"483",55,28,7,1,56,5,6.9,1.32,1.98
"484",56,28,7,1,57,5,6.93,2.83,2.83
"485",57,28,7,1,58,5,6.37,0.74,1.91
"486",58,28,7,1,59,5,5.66,1.27,1.76
"487",59,28,7,1,60,5,5.8,0.87,1.6
"488",60,28,7,1,61,5,13.5,1.34,4.6
"489",0,29,7,1,1,10,10.05,1.62,4.48
"490",1,29,7,1,2,10,10.54,0.68,2.52
"491",2,29,7,1,3,10,10.79,0.73,4.33
"492",3,29,7,1,4,10,11.22,0.97,6.94
"493",4,29,7,1,5,10,10.59,0.75,7.48
"494",5,29,7,1,6,10,10.38,0.87,7.97
"495",6,29,7,1,7,10,10.44,0.7,7.54
"496",7,29,7,1,8,10,11.43,11.43,11.43
"497",8,29,7,1,9,10,11.98,1.47,1.94
"498",9,29,7,1,10,10,10.92,0.9,1.5
"499",10,29,7,1,11,10,10.62,0.93,6.52
"500",11,29,7,1,12,10,10.79,0.76,7.28
"501",12,29,7,1,13,10,11.46,0.73,6.76
"502",13,29,7,1,14,10,10.82,3.34,6.08
"503",14,29,7,1,15,10,13.38,0.94,3.59
"504",15,29,7,1,16,10,10.14,0.1,2.02
"505",16,29,7,1,17,10,10.48,3.6,3.96
"506",17,29,7,1,18,10,11.82,2.35,9.55
"507",18,29,7,1,19,10,12.89,0.61,8.14
"508",19,29,7,1,20,10,12.8,1.01,1.01
"509",20,29,7,1,21,10,11.4,3.34,6.56
"510",21,29,7,1,22,10,10.21,0.93,9.92
"511",22,29,7,1,23,10,12.24,0.64,8.09
"512",23,29,7,1,24,10,11.3,1.16,3.56
"513",24,29,7,1,25,10,13.24,1.98,8.72
"514",25,29,7,1,26,10,11.94,1.58,7.67
"515",26,29,7,1,27,10,10.59,10.59,10.59
"516",27,29,7,1,28,10,11.68,2.65,2.92
