"","index","SubjectID","Session","SessionCode","Trial","ProgFI","ObtFI","Lat","Breakpoint"
"1",0,21,7,1,1,5,7.09,4.7,4.7
"2",1,21,7,1,2,5,6.04,1.93,3.65
"3",2,21,7,1,3,5,5.4,0.92,2.37
"4",3,21,7,1,4,5,7.94,0.92,3.09
"5",4,21,7,1,5,5,5.9,1.04,1.59
"6",5,21,7,1,6,5,5.49,1.48,3.03
"7",6,21,7,1,7,5,7.08,1.84,3.9
"8",7,21,7,1,8,5,5.84,1.55,2.61
"9",8,21,7,1,9,5,10.95,1.34,4.08
"10",9,21,7,1,10,5,7.37,1.94,3.98
"11",10,21,7,1,11,5,13.87,1.06,2.93
"12",11,21,7,1,12,5,7.93,1.99,3.5
"13",12,21,7,1,13,5,5.65,1.65,1.65
"14",13,21,7,1,14,5,5.26,3.31,3.31
"15",14,21,7,1,15,5,8.69,1.86,3.57
"16",15,21,7,1,16,5,5.3,1.57,3.2
"17",16,21,7,1,17,5,5.31,1.05,2.31
"18",17,21,7,1,18,5,13.75,1.05,2.58
"19",18,21,7,1,19,5,6.4,0.14,3.81
"20",19,21,7,1,20,5,5.52,1.5,3.42
"21",20,21,7,1,21,5,5.65,3.08,3.08
"22",21,21,7,1,22,5,5.06,1.64,1.64
"23",22,21,7,1,23,5,6.26,1.03,3.83
"24",23,21,7,1,24,5,5.71,1.04,2.17
"25",24,21,7,1,25,5,5.52,1.32,3.55
"26",25,21,7,1,26,5,6.94,1.64,4.74
"27",26,21,7,1,27,5,5.25,3.6,3.6
"28",27,21,7,1,28,5,5.42,1.14,1.14
"29",28,21,7,1,29,5,5.77,1.29,1.29
"30",29,21,7,1,30,5,9.86,1.27,4.65
"31",30,21,7,1,31,5,5.19,2.42,2.42
"32",31,21,7,1,32,5,6.07,1.25,3.87
"33",32,21,7,1,33,5,7.27,7.27,7.27
"34",33,21,7,1,34,5,5.77,1.36,1.36
"35",34,21,7,1,35,5,5.06,1.13,3.15
"36",35,21,7,1,36,5,5.29,1.1,1.1
"37",36,21,7,1,37,5,6.25,2.81,2.81
"38",37,21,7,1,38,5,5.3,0.92,3.83
"39",38,21,7,1,39,5,5.1,1.13,3.7
"40",39,21,7,1,40,5,5.21,1.19,3.08
"41",40,21,7,1,41,5,5.9,1,3.94
"42",41,21,7,1,42,5,5.04,1.12,3.2
"43",42,21,7,1,43,5,5.48,1.75,2.7
"44",43,21,7,1,44,5,5.4,1.25,3.89
"45",44,21,7,1,45,5,5.88,0.81,1.68
"46",45,21,7,1,46,5,5.88,1.13,3.92
"47",46,21,7,1,47,5,5.08,0.91,4.02
"48",47,21,7,1,48,5,5.13,2.69,2.69
"49",48,21,7,1,49,5,5.36,0.9,1.77
"50",49,21,7,1,50,5,6.21,0.83,3.17
"51",50,21,7,1,51,5,5.04,1.01,1.29
"52",51,21,7,1,52,5,5.29,0.96,3.8
"53",52,21,7,1,53,5,5.85,0.79,2.29
"54",53,21,7,1,54,5,5.7,1.18,2.81
"55",54,21,7,1,55,5,5.18,1.13,1.13
"56",55,21,7,1,56,5,9.51,9.51,9.51
"57",56,21,7,1,57,5,5.24,1.18,3.78
"58",57,21,7,1,58,5,5.1,1.04,3.07
"59",58,21,7,1,59,5,6.38,0.85,4.93
"60",59,21,7,1,60,5,5.48,0.9,2.61
"61",60,21,7,1,61,5,6.07,0.87,3.82
"62",0,22,7,1,1,10,11.77,3.09,3.09
"63",1,22,7,1,2,10,10.16,3.55,3.55
"64",2,22,7,1,3,10,11.33,0.64,3.53
"65",3,22,7,1,4,10,10.39,2.91,2.91
"66",4,22,7,1,5,10,12.39,12.39,12.39
"67",5,22,7,1,6,10,10.07,1.02,3.76
"68",6,22,7,1,7,10,10.64,1.52,3.16
"69",7,22,7,1,8,10,10.46,2.58,5.65
"70",8,22,7,1,9,10,20.35,1.71,2.13
"71",9,22,7,1,10,10,10.42,3.29,3.29
"72",10,22,7,1,11,10,16.11,5.12,9.55
"73",11,22,7,1,12,10,10.77,1.1,3.36
"74",12,22,7,1,13,10,10.16,1.14,2.31
"75",13,22,7,1,14,10,11.44,2.29,4.47
"76",14,22,7,1,15,10,11.04,0.88,4.89
"77",15,22,7,1,16,10,10.04,2.81,9.76
"78",16,22,7,1,17,10,11.8,1.76,4
"79",17,22,7,1,18,10,14.01,3.03,7.78
"80",18,22,7,1,19,10,22,1.37,1.53
"81",19,22,7,1,20,10,21.98,1.44,1.77
"82",20,22,7,1,21,10,21.4,2.7,6.11
"83",21,22,7,1,22,10,12.54,5.45,5.45
"84",22,22,7,1,23,10,11.01,1.1,1.1
"85",23,22,7,1,24,10,10.87,10.87,10.87
"86",24,22,7,1,25,10,11.87,6.8,6.8
"87",25,22,7,1,26,10,10.12,2.13,7.49
"88",26,22,7,1,27,10,17.44,17.44,17.44
"89",27,22,7,1,28,10,10.67,1.17,1.6
"90",28,22,7,1,29,10,10.13,1.47,4.89
"91",29,22,7,1,30,10,10.7,1.3,2.16
"92",30,22,7,1,31,10,10.25,1.79,1.79
"93",31,22,7,1,32,10,11.95,0.98,3.03
"94",32,22,7,1,33,10,10.19,0.73,1.75
"95",33,22,7,1,34,10,10.45,1.09,7.94
"96",34,22,7,1,35,10,10.52,0.7,6.7
"97",35,22,7,1,36,10,10.06,1.94,1.94
"98",36,22,7,1,37,10,11.02,1.22,7.95
"99",37,22,7,1,38,10,10.25,0.96,1.5
"100",38,22,7,1,39,10,11.25,0.71,2.58
"101",39,22,7,1,40,10,20.31,0.72,9.81
"102",40,22,7,1,41,10,10.05,0.9,4.23
"103",41,22,7,1,42,10,10.76,1.55,8.3
"104",42,22,7,1,43,10,10.53,8.52,8.52
"105",43,22,7,1,44,10,10.61,0.97,8.98
"106",44,22,7,1,45,10,11.35,1.66,9.34
"107",45,22,7,1,46,10,10.62,0.95,4.94
"108",46,22,7,1,47,10,11.09,3.3,4.24
"109",47,22,7,1,48,10,10.11,1.84,3.78
"110",48,22,7,1,49,10,10.38,1.79,1.79
"111",49,22,7,1,50,10,10.84,0.96,6.01
"112",50,22,7,1,51,10,10.09,1.22,2.56
"113",51,22,7,1,52,10,10.15,0.75,7.33
"114",52,22,7,1,53,10,10.08,0.74,5.62
"115",53,22,7,1,54,10,10.08,0.83,4.18
"116",54,22,7,1,55,10,10.95,0.82,9.12
"117",55,22,7,1,56,10,11.01,0.94,3.78
"118",56,22,7,1,57,10,10.25,0.81,7.39
"119",57,22,7,1,58,10,10.09,8.11,8.11
"120",58,22,7,1,59,10,10.58,2.21,4.13
"121",59,22,7,1,60,10,11.04,6.36,6.36
"122",60,22,7,1,61,10,11.3,1.1,8.44
"123",0,23,7,1,1,5,6.75,1.7,1.7
"124",1,23,7,1,2,5,6.01,1.61,2.96
"125",2,23,7,1,3,5,5.05,0.47,4.89
"126",3,23,7,1,4,5,7.38,0.64,2.82
"127",4,23,7,1,5,5,7.08,0.36,1.09
"128",5,23,7,1,6,5,7.18,0.45,0.45
"129",6,23,7,1,7,5,5.86,0.73,2.61
"130",7,23,7,1,8,5,6.51,1.63,2.26
"131",8,23,7,1,9,5,10.43,10.43,10.43
"132",9,23,7,1,10,5,6.16,0.59,2.96
"133",10,23,7,1,11,5,5.33,0.49,0.49
"134",11,23,7,1,12,5,5.27,0.77,2.26
"135",12,23,7,1,13,5,6.09,1.37,4.04
"136",13,23,7,1,14,5,5.63,4.2,4.2
"137",14,23,7,1,15,5,6.09,0.42,0.42
"138",15,23,7,1,16,5,5.45,0.86,1.55
"139",16,23,7,1,17,5,6.17,0.9,2.16
"140",17,23,7,1,18,5,5.17,0.51,4.4
"141",18,23,7,1,19,5,5.7,0.81,0.81
"142",19,23,7,1,20,5,5.45,0.46,0.86
"143",20,23,7,1,21,5,5.25,0.56,1.24
"144",21,23,7,1,22,5,5.25,0.57,2.05
"145",22,23,7,1,23,5,5.31,0.38,0.88
"146",23,23,7,1,24,5,6.29,0.35,2.91
"147",24,23,7,1,25,5,6.32,0.52,0.9
"148",25,23,7,1,26,5,11.81,0.57,2.07
"149",26,23,7,1,27,5,6.33,4.49,4.49
"150",27,23,7,1,28,5,7.19,1.07,2.49
"151",28,23,7,1,29,5,5.1,0.81,2.07
"152",29,23,7,1,30,5,5.92,0.84,1.26
"153",30,23,7,1,31,5,5.11,1.57,1.57
"154",31,23,7,1,32,5,5.9,1.02,2.87
"155",32,23,7,1,33,5,5.02,0.66,0.66
"156",33,23,7,1,34,5,5.15,0.86,2.03
"157",34,23,7,1,35,5,5.92,0.87,2.48
"158",35,23,7,1,36,5,6,0.99,3.53
"159",36,23,7,1,37,5,5.74,0.84,2.19
"160",37,23,7,1,38,5,5.05,0.81,4.46
"161",38,23,7,1,39,5,6.12,0.97,3.72
"162",39,23,7,1,40,5,5.32,2.37,2.37
"163",40,23,7,1,41,5,5.8,0.77,2.24
"164",41,23,7,1,42,5,5.79,1.61,2.8
"165",42,23,7,1,43,5,5.03,0.66,3.07
"166",43,23,7,1,44,5,5.1,2.27,3.59
"167",44,23,7,1,45,5,5.48,0.6,2.97
"168",45,23,7,1,46,5,5.88,0.61,4.55
"169",46,23,7,1,47,5,5.8,0.5,1.36
"170",47,23,7,1,48,5,5.03,0.77,1.37
"171",48,23,7,1,49,5,5.57,0.4,3.85
"172",49,23,7,1,50,5,5.46,0.34,4.18
"173",50,23,7,1,51,5,5.24,0.32,0.74
"174",51,23,7,1,52,5,5.14,0.51,4.46
"175",52,23,7,1,53,5,6.34,1.86,1.86
"176",53,23,7,1,54,5,5.64,0.74,3.02
"177",54,23,7,1,55,5,5.89,0.55,4.02
"178",55,23,7,1,56,5,5.38,0.38,1.31
"179",56,23,7,1,57,5,5.26,0.51,0.51
"180",57,23,7,1,58,5,5.15,0.82,3.86
"181",58,23,7,1,59,5,5.43,0.4,2.15
"182",59,23,7,1,60,5,5.38,0.51,4.1
"183",60,23,7,1,61,5,5.56,2.12,2.12
"184",0,24,7,1,1,10,10.9,9.63,9.63
"185",1,24,7,1,2,10,10.5,0.82,5.21
"186",2,24,7,1,3,10,12.27,0.63,4.19
"187",3,24,7,1,4,10,12.64,1.54,1.99
"188",4,24,7,1,5,10,12.31,5.89,5.89
"189",5,24,7,1,6,10,12.61,2.3,3.74
"190",6,24,7,1,7,10,10.81,1.45,7.36
"191",7,24,7,1,8,10,12.86,0.91,0.91
"192",8,24,7,1,9,10,11.47,0.89,1.39
"193",9,24,7,1,10,10,10.11,4.18,4.18
"194",10,24,7,1,11,10,10.79,3.14,4.04
"195",11,24,7,1,12,10,18.57,2.16,7.44
"196",12,24,7,1,13,10,14.77,0.88,2.87
"197",13,24,7,1,14,10,10.06,1.05,1.81
"198",14,24,7,1,15,10,10.66,1.01,4.61
"199",15,24,7,1,16,10,16.15,0.86,9.91
"200",16,24,7,1,17,10,10.65,0.85,1.17
"201",17,24,7,1,18,10,10.53,1.04,4.96
"202",18,24,7,1,19,10,14.71,1.16,2.98
"203",19,24,7,1,20,10,10.25,1.09,3.59
"204",20,24,7,1,21,10,11.49,0.91,3.93
"205",21,24,7,1,22,10,14.17,0.85,6.07
"206",22,24,7,1,23,10,10.63,0.84,8.01
"207",23,24,7,1,24,10,10.78,1.49,2.77
"208",24,24,7,1,25,10,11.5,2.01,2.01
"209",25,24,7,1,26,10,10.31,2.63,2.63
"210",26,24,7,1,27,10,10.86,1.69,9.69
"211",27,24,7,1,28,10,10.57,0.35,2.1
"212",28,24,7,1,29,10,10.91,2.27,2.27
"213",29,24,7,1,30,10,12.9,12.9,12.9
"214",30,24,7,1,31,10,12.76,0.92,4.35
"215",31,24,7,1,32,10,10.2,1.91,6.33
"216",32,24,7,1,33,10,10.11,0.86,7.58
"217",33,24,7,1,34,10,10.03,0.87,7.4
"218",34,24,7,1,35,10,11.23,1.07,9
"219",35,24,7,1,36,10,10.02,0.11,6.7
"220",36,24,7,1,37,10,10.24,0.67,8.56
"221",37,24,7,1,38,10,10.66,1.27,1.27
"222",38,24,7,1,39,10,10.7,0.52,8.36
"223",39,24,7,1,40,10,10.08,9.08,9.08
"224",40,24,7,1,41,10,10.45,2.19,2.19
