,SubjectID,ProgFI,A,L,K
0,21.0,5.0,1.000074610149915,0.8712554613628025,16.332165267660468
1,21.0,5.73,1.4463573898249191,0.9977133191317826,70.69557113121961
2,21.0,7.86,1.9999999999999998,1.118848585038601,4.139756758390388
3,21.0,11.18,1.9999999837702251,1.2864535359518032,1.9016871974447056
4,21.0,15.36,0.8123653376480219,0.6892981941558278,5.302036088992892
5,21.0,20.0,1.9377699964807307,1.1720146788695,1.9016815741447057
6,21.0,24.64,1.436109386440039,0.8796819944633946,1.2313469018001622
7,21.0,28.82,1.9999999999999998,1.5070418839422892,1.1498340925316284
8,21.0,32.14,0.7949113230034992,0.2539655346924033,4.309095341725505
9,21.0,34.27,0.8396057440133144,0.24116871485990807,5.703583111864451
10,21.0,35.0,1.0119910959766694,0.3100225144461966,1.1181668610412163
11,22.0,10.0,0.9843627011079036,0.6849643420687748,3.2377752532206765
12,22.0,11.47,0.8227171107085213,0.5552048728722941,10.44739303066387
13,22.0,15.73,0.7915371375152468,0.5465711950862285,4.901959742025042
14,22.0,22.37,0.8276398899703982,0.4468815852310173,2.367961253198359
15,22.0,30.73,0.841013324255788,0.34886415654482145,4.893960929176882
16,22.0,40.0,0.9739995554849366,0.509935065781042,2.9300432109677703
17,22.0,49.27,0.9770373931726267,0.39036779080445744,2.831476455691556
18,22.0,57.63,0.9868131978788189,0.4074112829080459,2.554828699716456
19,22.0,64.27,0.9231601384404219,0.42429754070223363,2.3099822766649387
20,22.0,68.53,0.9996488832693133,0.5606184688640172,2.560051952562417
21,22.0,70.0,0.9115037367115517,0.366483541857108,3.4570785611363752
22,23.0,5.0,1.000230516516381,0.8106860504382483,12.729927515465251
23,23.0,5.73,1.9999919470917455,1.0063485997051758,57.91361971350363
24,23.0,7.86,1.9999999999999998,1.0550547647383415,8.037998431575028
25,23.0,11.18,1.7488677532666805,1.4478857980504456,1.127493147871001
26,23.0,15.36,0.8265476849547471,0.5489894366883754,1.7266506993998127
27,23.0,20.0,0.9736556630875937,0.38782376820078274,2.035967769920606
28,23.0,24.64,0.8875088354729644,0.36685650490469396,1.2311532493199473
29,23.0,28.82,1.2713416091099137,0.6777531148230602,0.8979539756046253
30,23.0,32.14,1.052261694129858,0.5080171333784889,1.337827232228012
31,23.0,34.27,0.9676528910631488,0.3260450555330869,1.559937360930195
32,23.0,35.0,0.9308688305007456,0.296948992102398,1.7337446905069278
33,24.0,10.0,0.7796179363012594,0.6351891995169807,22.877604575400007
