,SubjectID,Model,B,Sm,P,AICc
0,21.0,SineWave,1.043490027010016,0.6408010489997678,19.963965242196213,13.991119322610983
1,23.0,SineWave,0.971280499433124,0.6661198080126878,19.993768778173862,7.257221508879912
2,26.0,SineWave,1.013707153927698,0.7589718757274282,20.06350702096616,-4.610313015448487
3,28.0,SineWave,0.944203267052751,0.7295374004508868,19.934390342351904,83.31703629013012
4,30.0,SineWave,1.01918157800681,0.5216410417650248,20.14535599635213,12.307520721770166
5,32.0,SineWave,0.9374397419063949,0.5859666045923584,20.07534460528188,-4.575701948331114
6,33.0,SineWave,0.8236314593855998,0.5262775166394499,19.905699013692796,11.455554097883686
7,35.0,SineWave,0.6767627769484977,0.43897881540489375,19.993758318091096,-23.94031477515334
8,22.0,SineWave,0.8311918932379831,0.5692058718602121,19.949322848814447,16.853723745271786
9,24.0,SineWave,0.8644289993716847,0.5709636093016058,19.92746053590458,7.414635289709096
10,25.0,SineWave,0.949145738311836,0.710518517132302,19.96183712428136,-61.5194206777075
11,27.0,SineWave,0.9396467455409263,0.719876320388106,19.968050895726726,14.912270157819101
12,29.0,SineWave,0.9030144076615448,0.556347779534868,20.20780276994945,13.509999896791504
13,31.0,SineWave,0.9424468482285393,0.6520075297006289,19.969378956118714,-26.41381085190449
14,34.0,SineWave,0.8897155410788404,0.517550571264146,20.08688212861199,-5.325507350184301
15,36.0,SineWave,0.7632245469662075,0.5340589261985215,19.996840462704615,-29.13180377692768
16,177.0,SineWave,0.8524755043825177,0.7054038966789993,19.967194613537387,-1.7946852274002985
17,178.0,SineWave,0.916473782986991,0.7049748272080965,19.949192002594643,-31.217288896204796
18,179.0,SineWave,0.8614669995444932,0.6774557766730306,20.012117047501533,-12.282707240507156
19,180.0,SineWave,0.7337267061998733,0.6470594047263175,19.94763097726607,-11.922518055757214
20,181.0,SineWave,0.9815036157450975,0.7577292736002185,20.002264635613354,-7.534023287976856
21,182.0,SineWave,0.9024568865501704,0.6044873997410114,20.03041825148214,-42.397255309434975
22,183.0,SineWave,0.8610878466794953,0.6835339674747033,19.98032191101176,-18.66958938574698
23,184.0,SineWave,0.8941934126818184,0.7605851136691172,19.938309780634977,-25.97366318742237
